ID;NAME_RU;NAME_EN;YEAR;COUNTRIES;GENRES;RATE;FILM_DIRECTOR;ACTORS
51e0773f-d532-4d0e-bd63-61344987fdca;Тот, кто меня слышит;The Parts You Lose;2018;Канада;drama, thriller, action;6.0;Кристофер Кентвелл;drama, thriller, action
02c3f577-b3a4-405c-9808-b15c0c2d6bfd;Шут;Shut;1988;СССР;drama;7.3;Андрей Эшпай;drama
300abf27-33b7-4213-9dd6-a458db947bab;Неправильные копы;Wrong Cops;2013;Франция, Россия;comedy;6.0;Квентин Дюпьё;comedy
b9e50318-67e8-4c7b-9274-d1e8eb5e1283;Пришельцы в доме;Luis and His Friends from Outer Space;2018;Германия, Люксембург, Дания;family, for_child;5.0;Кристоф Лауэнштайн;family, for_child
7c4b8e3d-2c89-4fcd-a344-cfcb39b1cd7f;Амундсен;Amundsen;2019;Норвегия;drama, adventures;6.2;Эспен Сандберг;drama, adventures
748c7a7b-39f6-4649-9a88-6ac7a44d81e5;Любовь и секс на Ибице;Loving Ibiza;2013;Нидерланды;melodrama, comedy;;Йохан Нийенхейс;melodrama, comedy
44fccc5f-ec80-4e8a-b142-7417a5acda85;Нападение на Уолл-стрит;Bailout: The Age of Greed;2013;Канада;action;6.5;Уве Болл;action
84fe480e-e0fb-4381-88cf-3fb1037f2c30;Индиана Джонс и последний крестовый поход;Indiana Jones and the Last Crusade;1989;США;action, adventures;8.1;Стивен Спилберг;action, adventures
1530b582-6f70-4199-81bb-62fa2837f882;Особенности национальной подледной ловли, или отрыв по полной;Peculiarities of National Last Fishing, or Real Breakaway;2007;Россия;comedy;4.6;Станислав Мареев;comedy
6d562745-88e6-4ae1-81e0-2070c27c966c;Слепые пятна;Blindspotting;2018;США;drama, crime, comedy;6.6;Карлос Лопес Эстрада;drama, crime, comedy
2fbdfb0594ff8c15f7601;Внеземное эхо;Earth to Echo;2014;США;fantasy, family, adventures, for_child;5.0;Дэйв Грин;fantasy, family, adventures, for_child
75a4da87-d5dc-4716-a2ab-61d1d390d936;2pac: Легенда;All Eyez on Me;2017;США;drama;;Бенни Бум;drama
68dffa3d-c887-4c76-9be4-575e4d294c4f;Фобия;Hjemsøkt;2017;Норвегия;drama, thriller, horror;4.7;Карл Кристиан Робе;drama, thriller, horror
63a1e8ba-bf21-4cad-a67f-3e33ee4e4c47;Джон Уик;JOHN WICK;2014;США, Китай;thriller, action;;Чад Стахелски;thriller, action
e6cca22e-ab58-4a3f-92bc-40f850df9bf2;Экипаж;Flight;2012;США;drama, thriller;5.0;Роберт Земекис;drama, thriller
3649bac9-8a44-4090-93f3-c2167f3b0523;Джон Картер;Dzhon Karter;2012;США;action, fantasy;6.9;Эндрю Стэнтон;action, fantasy
9e9009cf-a447-425f-9870-8ccffc1a1421;Съесть слона;S'est' slona;2020;Россия;documentary, comedy;4.95;Сапонова Юлия Владимировна;documentary, comedy
